startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
2017-03-22T00:00:00,,,2017-03-23T23:59:59,Cambrigde_UK,MCDA_CC 2017,Conference,"MCDA_CC  2017 : Special Session (in conjunction with ICC 2017-Cambridge:UK):MCDA methods for Cloud Services discovery, selection and composition","MCDA, cloud service, composition, selection",2016-08-05T00:00:00,,icc-conference.org/index.php/special-sessions,
2016-09-26T00:00:00,,,2016-09-28T23:59:59,Montreal,NETWORKS 2016,Conference,NETWORKS  2016 : Networks 2016 : 17th International Network Strategy and Planning Symposium,"network, communication, wireless, emerging technologies",2016-08-15T00:00:00,,networks2016.etsmtl.ca/,
2016-11-28T00:00:00,,2016-10-10T00:00:00,2016-11-28T23:59:59,Genova,AI*AAL.it 2016,Conference,AI*AAL.it  2016 : Second Italian Workshop on Artificial Intelligence for Ambient Assisted Living,"artificial intelligence, ambient assisted living",2016-09-10T00:00:00,Italy,aiia2016.istc.cnr.it/,2016-09-30T00:00:00
2016-11-30T00:00:00,2016-10-16T00:00:00,2016-11-30T00:00:00,2016-11-30T23:59:59,Walldorf,EWSECO 2016,Conference,EWSECO  2016 : European Workshop on Software Ecosystems,"software ecosystems, business networks, isv ecosystems, partner ecosystems",2016-11-30T00:00:00,,ewseco.squarespace.com/,2016-11-01T00:00:00
2017-07-03T00:00:00,,2017-05-08T00:00:00,2017-07-04T23:59:59,Vilnius,ECSM 2017,Conference,ECSM  2017 : 4th European Conference on Social Media ECSM 2017,"social media, the networked citizen, monitoring and evaluating soci, security of social media",2016-12-12T00:00:00,,www.academic-conferences.org/conferences/ecsm/,2016-12-22T00:00:00
2017-01-04T00:00:00,2016-09-25T00:00:00,2016-11-27T00:00:00,2017-01-07T23:59:59,somewhere in the Pyr̩n̩es,JFLA 2017,Conference,JFLA  2017 : Journ̩es Francophones des Langages Applicatifs,"functional programming, proof assistants, verification",2016-10-09T00:00:00,France,jfla.inria.fr/2017/,2016-11-18T00:00:00
,,2016-09-05T00:00:00,,,GRAPH-HOC 2016,Conference,GRAPH-HOC  2016 : International Journal on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,"sensor networks, algorithms, wireless networks, mobility",2016-07-30T00:00:00,,airccse.org/journal/graphhoc/GRAPH-HOC.html,2016-08-30T00:00:00
2017-06-14T00:00:00,,2017-04-21T00:00:00,2017-06-15T23:59:59,London,RESAW 2017,Conference,RESAW  2017 : RESAW (Research Infrastructure for the Study of Archived Web Materials) conference,"web archiving, web, cultural heritage, DIGITAL",2016-12-09T00:00:00,,,2017-01-20T00:00:00
2017-03-13T00:00:00,,,2017-03-15T23:59:59,Prague,ICCUE 2017,Conference,ICCUE  2017 : 2017 4th International Conference on Civil and Urban Engineering (ICCUE 2017),"civil engineering, environment, nanotechnology, engineering",2016-11-05T00:00:00,Czech Republic,www.iccue.org/,
2017-03-13T00:00:00,,,2017-03-15T23:59:59,Prague,ICFSN 2017,Conference,ICFSN  2017 : 2017 4th International Conference on Food Security and Nutrition (ICFSN 2017),"biotechnology, biology, environment, agriculture",2016-11-05T00:00:00,Czech Republic,www.icfsn.org/,
